2016-11-22 13:37:23.732 [pool-5-thread-2] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:23.852 [pool-5-thread-7] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:23.937 [pool-5-thread-8] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:24.183 [pool-5-thread-9] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:24.243 [pool-5-thread-3] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:24.461 [pool-5-thread-10] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:24.600 [pool-5-thread-4] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:24.817 [pool-5-thread-5] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:24.974 [pool-5-thread-1] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.148 [pool-5-thread-6] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.314 [pool-5-thread-2] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.474 [pool-5-thread-7] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.565 [pool-5-thread-8] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.647 [pool-5-thread-9] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.721 [pool-5-thread-3] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.806 [pool-5-thread-10] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:25.891 [pool-5-thread-4] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.039 [pool-5-thread-5] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.139 [pool-5-thread-1] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.279 [pool-5-thread-6] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.480 [pool-5-thread-2] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.629 [pool-5-thread-7] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.801 [pool-5-thread-8] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:26.991 [pool-5-thread-9] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:27.139 [pool-5-thread-3] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:27.317 [pool-5-thread-10] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:27.523 [pool-5-thread-4] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:27.669 [pool-5-thread-5] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:27.858 [pool-5-thread-1] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:31.920 [pool-5-thread-6] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.050 [pool-5-thread-2] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.160 [pool-5-thread-7] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.294 [pool-5-thread-8] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.386 [pool-5-thread-9] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.524 [pool-5-thread-3] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.659 [pool-5-thread-10] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.778 [pool-5-thread-4] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:32.878 [pool-5-thread-5] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:33.014 [pool-5-thread-1] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:33.244 [pool-5-thread-6] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:33.385 [pool-5-thread-2] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:33.722 [pool-5-thread-7] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:33.856 [pool-5-thread-8] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:33.989 [pool-5-thread-9] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:34.122 [pool-5-thread-3] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:34.250 [pool-5-thread-10] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:34.616 [pool-5-thread-4] INFO  uk.co.streefland.rhys.finalyearproject.message.content.TextReceiver - Received a message intended for me
2016-11-22 13:37:37.446 [pool-5-thread-5] INFO  uk.co.streefland.rhys.finalyearproject.operation.SendMessageOperation - SMO ACK RECEIVED with success value: true
2016-11-22 13:37:37.457 [Thread-510] INFO  uk.co.streefland.rhys.finalyearproject.core.Messages - Message sent to user: rhys
2016-11-22 13:37:37.708 [pool-5-thread-1] INFO  uk.co.streefland.rhys.finalyearproject.operation.SendMessageOperation - SMO ACK RECEIVED with success value: true
2016-11-22 13:37:37.716 [Thread-511] INFO  uk.co.streefland.rhys.finalyearproject.core.Messages - Message sent to user: rhys
2016-11-22 13:37:37.824 [pool-5-thread-6] INFO  uk.co.streefland.rhys.finalyearproject.operation.SendMessageOperation - SMO ACK RECEIVED with success value: true
2016-11-22 13:37:37.827 [Thread-512] INFO  uk.co.streefland.rhys.finalyearproject.core.Messages - Message sent to user: rhys
2016-11-22 13:37:37.959 [pool-5-thread-2] INFO  uk.co.streefland.rhys.finalyearproject.operation.SendMessageOperation - SMO ACK RECEIVED with success value: true
